county_name,customers_tracked,customers_out,outage%,last_updated,electric_providers
Alachua,"133,068",3,0%,10/2/2022 1:43:20 AM GMT,"{'Central Florida Electric Cooperative': ['935', '0', '9/30/2022 6:42:50 PM GMT'], 'Clay Electric Coop': ['24,901', '0', '10/2/2022 1:43:20 AM GMT'], 'Duke Energy': ['5,362', '0', '10/2/2022 1:40:04 AM GMT'], 'Florida Power & Light Company': ['1,270', '0', '10/2/2022 1:43:19 AM GMT'], 'Gainesville Regional Utilities': ['100,600', '3', '10/2/2022 1:43:19 AM GMT']}"
Baker,"12,286",0,0%,10/2/2022 1:43:20 AM GMT,"{'Clay Electric Coop': ['2,805', '0', '10/2/2022 1:43:20 AM GMT'], 'Florida Power & Light Company': ['5,640', '0', '10/1/2022 5:53:35 PM GMT'], 'Okefenoke REMC': ['3,841', '0', '10/2/2022 1:42:54 AM GMT']}"
Bay,"116,644",1,0%,10/2/2022 1:43:19 AM GMT,"{'Duke Energy': ['1,831', '0', '10/2/2022 1:40:04 AM GMT'], 'Florida Power & Light Company': ['102,759', '1', '10/2/2022 1:43:19 AM GMT'], 'Gulf Coast Electric Coop': ['12,054', '0', '10/2/2022 1:43:13 AM GMT']}"
Bradford,"10,438",0,0%,10/2/2022 1:43:20 AM GMT,"{'Clay Electric Coop': ['6,258', '0', '10/2/2022 1:43:20 AM GMT'], 'Florida Power & Light Company': ['4,180', '0', '10/1/2022 5:53:35 PM GMT']}"
Brevard,"330,448","4,360",1.32%,10/2/2022 1:43:19 AM GMT,"{'Clay Electric Coop': ['0', '0', '3/14/2020 12:11:56 AM GMT'], 'Duke Energy': ['14', '0', '10/2/2022 1:40:04 AM GMT'], 'Florida Power & Light Company': ['330,380', '4,360', '10/2/2022 1:43:19 AM GMT'], 'Orlando Utilities Commission': ['0', '0', '3/14/2020 12:11:46 AM GMT'], 'Peace River Electric Coop': ['54', '0', '10/2/2022 1:43:12 AM GMT']}"
Broward,"963,626",0,0%,10/2/2022 1:43:19 AM GMT,"{'Florida Power & Light Company': ['963,570', '0', '9/30/2022 11:04:33 AM GMT'], 'Lee County Electric Coop': ['56', '0', '10/2/2022 1:43:19 AM GMT']}"
Charlotte,"127,544","81,715",64.07%,10/2/2022 1:43:19 AM GMT,"{'Florida Power & Light Company': ['126,690', '81,130', '10/2/2022 1:43:19 AM GMT'], 'Lee County Electric Coop': ['854', '585', '10/2/2022 1:43:19 AM GMT']}"
Citrus,"93,563",0,0%,10/2/2022 1:43:31 AM GMT,"{'Duke Energy': ['50,611', '0', '10/2/2022 1:40:04 AM GMT'], 'SECO Energy': ['15,820', '0', '10/2/2022 1:43:31 AM GMT'], 'Withlacoochee River Electric Coop': ['27,132', '0', '10/2/2022 1:43:18 AM GMT']}"
Clay,"95,574",0,0%,10/2/2022 1:43:20 AM GMT,"{'Clay Electric Coop': ['86,695', '0', '10/2/2022 1:43:20 AM GMT'], 'Florida Power & Light Company': ['930', '0', '10/1/2022 5:53:35 PM GMT'], 'Jacksonville Electric Authority': ['7,949', '0', '10/2/2022 1:43:14 AM GMT']}"
Collier,"265,707","88,956",33.48%,10/2/2022 1:43:19 AM GMT,"{'Florida Power & Light Company': ['228,540', '72,090', '10/2/2022 1:43:19 AM GMT'], 'Lee County Electric Coop': ['37,167', '16,866', '10/2/2022 1:43:19 AM GMT']}"
Columbia,"35,390",0,0%,10/2/2022 1:43:20 AM GMT,"{'Clay Electric Coop': ['18,083', '0', '10/2/2022 1:43:20 AM GMT'], 'Duke Energy': ['628', '0', '10/2/2022 1:40:04 AM GMT'], 'Florida Power & Light Company': ['14,590', '0', '10/1/2022 5:53:35 PM GMT'], 'Suwannee Valley Electric Cooperative': ['2,089', '0', '10/2/2022 1:43:13 AM GMT']}"
Dixie,"10,657",0,0%,10/2/2022 1:43:12 AM GMT,"{'Central Florida Electric Cooperative': ['8,143', '0', '10/1/2022 8:43:10 PM GMT'], 'Duke Energy': ['1,846', '0', '10/2/2022 1:40:04 AM GMT'], 'Tri-County Electric Coop': ['668', '0', '10/2/2022 1:43:12 AM GMT']}"
Duval,"476,341",8,0%,10/2/2022 1:43:20 AM GMT,"{'Clay Electric Coop': ['6', '0', '10/2/2022 1:43:20 AM GMT'], 'Florida Power & Light Company': ['10', '0', '9/28/2022 3:53:54 PM GMT'], 'Jacksonville Electric Authority': ['476,325', '8', '10/2/2022 1:43:14 AM GMT']}"
Flagler,"66,934","10,201",15.24%,10/2/2022 1:43:20 AM GMT,"{'Clay Electric Coop': ['3', '0', '10/2/2022 1:43:20 AM GMT'], 'Duke Energy': ['21', '21', '10/2/2022 1:40:04 AM GMT'], 'Florida Power & Light Company': ['66,910', '10,180', '10/2/2022 1:43:19 AM GMT']}"
Franklin,"11,101",0,0%,10/2/2022 1:40:04 AM GMT,"{'Duke Energy': ['11,101', '0', '10/2/2022 1:40:04 AM GMT']}"
Gadsden,"15,315",0,0%,10/2/2022 1:43:16 AM GMT,"{'Duke Energy': ['1', '0', '10/2/2022 1:40:04 AM GMT'], 'Talquin Electric Cooperative': ['15,314', '0', '10/2/2022 1:43:16 AM GMT']}"
Gilchrist,"9,842",0,0%,10/2/2022 1:43:20 AM GMT,"{'Central Florida Electric Cooperative': ['8,048', '0', '10/1/2022 10:02:56 PM GMT'], 'Clay Electric Coop': ['9', '0', '10/2/2022 1:43:20 AM GMT'], 'Duke Energy': ['1,785', '0', '10/2/2022 1:40:04 AM GMT']}"
Glades,"6,800",487,7.16%,10/2/2022 1:43:19 AM GMT,"{'Florida Power & Light Company': ['3,640', '270', '10/2/2022 1:43:19 AM GMT'], 'Glades Electric Cooperative': ['3,160', '217', '10/2/2022 1:43:18 AM GMT']}"
Gulf,"11,710",0,0%,10/2/2022 1:43:13 AM GMT,"{'Duke Energy': ['7,408', '0', '10/2/2022 1:40:04 AM GMT'], 'Gulf Coast Electric Coop': ['4,302', '0', '10/2/2022 1:43:13 AM GMT']}"
Hamilton,"7,136",0,0%,10/2/2022 1:43:13 AM GMT,"{'Duke Energy': ['3,044', '0', '10/2/2022 1:40:04 AM GMT'], 'Suwannee Valley Electric Cooperative': ['4,092', '0', '10/2/2022 1:43:13 AM GMT']}"
Hardee,"9,545","6,652",69.69%,10/2/2022 1:43:19 AM GMT,"{'Duke Energy': ['10', '0', '10/2/2022 1:40:04 AM GMT'], 'Florida Power & Light Company': ['30', '0', '10/2/2022 1:43:19 AM GMT'], 'Peace River Electric Coop': ['9,505', '6,652', '10/2/2022 1:43:12 AM GMT']}"
Hendry,"15,840","2,847",17.97%,10/2/2022 1:43:19 AM GMT,"{'Florida Power & Light Company': ['11,020', '2,120', '10/2/2022 1:43:19 AM GMT'], 'Glades Electric Cooperative': ['3,998', '428', '10/2/2022 1:43:18 AM GMT'], 'Lee County Electric Coop': ['822', '299', '10/2/2022 1:43:19 AM GMT']}"
Hernando,"101,183",0,0%,10/2/2022 1:43:31 AM GMT,"{'Duke Energy': ['12,585', '0', '10/2/2022 1:40:04 AM GMT'], 'SECO Energy': ['192', '0', '10/2/2022 1:43:31 AM GMT'], 'Tampa Electric': ['0', '0', '7/8/2022 5:13:08 AM GMT'], 'Withlacoochee River Electric Coop': ['88,406', '0', '10/2/2022 1:43:18 AM GMT']}"
Highlands,"65,371","26,839",41.06%,10/2/2022 1:43:19 AM GMT,"{'Duke Energy': ['56,795', '22,871', '10/2/2022 1:40:04 AM GMT'], 'Florida Power & Light Company': ['550', '130', '10/2/2022 1:43:19 AM GMT'], 'Glades Electric Cooperative': ['7,708', '3,838', '10/2/2022 1:43:18 AM GMT'], 'Peace River Electric Coop': ['318', '0', '10/2/2022 1:43:12 AM GMT']}"
Hillsborough,"673,532","55,691",8.27%,10/2/2022 1:43:30 AM GMT,"{'Clay Electric Coop': ['0', '0', '3/14/2020 12:11:56 AM GMT'], 'Duke Energy': ['25', '0', '10/2/2022 1:40:04 AM GMT'], 'Peace River Electric Coop': ['1,210', '292', '10/2/2022 1:43:12 AM GMT'], 'Tampa Electric': ['672,297', '55,399', '10/2/2022 1:43:30 AM GMT']}"
Indian River,"99,475",220,0.22%,10/2/2022 1:43:19 AM GMT,"{'Florida Power & Light Company': ['99,250', '220', '10/2/2022 1:43:19 AM GMT'], 'Peace River Electric Coop': ['225', '0', '10/2/2022 1:43:12 AM GMT']}"
Jefferson,"8,683",0,0%,10/2/2022 1:43:12 AM GMT,"{'Duke Energy': ['5,017', '0', '10/2/2022 1:40:04 AM GMT'], 'Tri-County Electric Coop': ['3,666', '0', '10/2/2022 1:43:12 AM GMT']}"
Lafayette,"4,374",1,0.02%,10/2/2022 1:43:13 AM GMT,"{'Central Florida Electric Cooperative': ['10', '0', '9/18/2022 8:13:15 PM GMT'], 'Duke Energy': ['865', '1', '10/2/2022 1:40:04 AM GMT'], 'Suwannee Valley Electric Cooperative': ['3,448', '0', '10/2/2022 1:43:13 AM GMT'], 'Tri-County Electric Coop': ['51', '0', '2/2/2020 3:54:19 AM GMT']}"
Lake,"169,814",760,0.45%,10/2/2022 1:43:31 AM GMT,"{'Clay Electric Coop': ['2,274', '0', '10/2/2022 1:43:20 AM GMT'], 'Duke Energy': ['93,899', '760', '10/2/2022 1:40:04 AM GMT'], 'SECO Energy': ['73,641', '0', '10/2/2022 1:43:31 AM GMT']}"
Lee,"487,727","335,970",68.88%,10/2/2022 1:43:19 AM GMT,"{'Florida Power & Light Company': ['288,630', '154,860', '10/2/2022 1:43:19 AM GMT'], 'Lee County Electric Coop': ['199,097', '181,110', '10/2/2022 1:43:19 AM GMT']}"
Leon,"131,037",0,0%,10/2/2022 1:43:16 AM GMT,"{'City of Tallahassee': ['105,405', '0', '10/2/2022 12:23:13 AM GMT'], 'Duke Energy': ['66', '0', '10/2/2022 1:40:04 AM GMT'], 'Talquin Electric Cooperative': ['25,566', '0', '10/2/2022 1:43:16 AM GMT']}"
Levy,"24,811",0,0%,10/2/2022 1:43:31 AM GMT,"{'Central Florida Electric Cooperative': ['18,371', '0', '10/1/2022 10:42:59 PM GMT'], 'Clay Electric Coop': ['682', '0', '10/2/2022 1:43:20 AM GMT'], 'Duke Energy': ['4,055', '0', '10/2/2022 1:40:04 AM GMT'], 'SECO Energy': ['1,703', '0', '10/2/2022 1:43:31 AM GMT']}"
Liberty,"4,176",0,0%,10/2/2022 1:43:31 AM GMT,"{'Duke Energy': ['1', '0', '10/2/2022 1:40:04 AM GMT'], 'Florida Public Utilities': ['773', '0', '10/2/2022 1:43:31 AM GMT'], 'Talquin Electric Cooperative': ['3,402', '0', '10/2/2022 1:43:16 AM GMT']}"
Madison,"11,486",0,0%,10/2/2022 1:43:12 AM GMT,"{'Duke Energy': ['4,030', '0', '10/2/2022 1:40:04 AM GMT'], 'Tri-County Electric Coop': ['7,456', '0', '10/2/2022 1:43:12 AM GMT']}"
Manatee,"235,082","64,149",27.29%,10/2/2022 1:43:19 AM GMT,"{'Florida Power & Light Company': ['198,710', '62,560', '10/2/2022 1:43:19 AM GMT'], 'Peace River Electric Coop': ['36,372', '1,589', '10/2/2022 1:43:12 AM GMT'], 'Tampa Electric': ['0', '0', '1/25/2022 2:14:07 PM GMT']}"
Marion,"208,354",1,0%,10/2/2022 1:43:31 AM GMT,"{'Central Florida Electric Cooperative': ['9', '0', '9/30/2022 8:24:59 PM GMT'], 'Clay Electric Coop': ['16,607', '0', '10/2/2022 1:43:20 AM GMT'], 'Duke Energy': ['74,580', '1', '10/2/2022 1:40:04 AM GMT'], 'Ocala Electric Utility': ['52,146', '0', '10/1/2022 9:33:01 PM GMT'], 'SECO Energy': ['65,012', '0', '10/2/2022 1:43:31 AM GMT']}"
Martin,"94,720",50,0.05%,10/2/2022 1:43:19 AM GMT,"{'Florida Power & Light Company': ['94,720', '50', '10/2/2022 1:43:19 AM GMT']}"
Miami-dade,"1,180,070",0,0%,10/1/2022 3:53:56 AM GMT,"{'Florida Power & Light Company': ['1,180,070', '0', '10/1/2022 3:53:56 AM GMT']}"
Monroe,"99,801",0,0%,10/1/2022 8:03:00 PM GMT,"{'Florida Keys Electric Coop': ['31,643', '0', '10/1/2022 4:23:12 PM GMT'], 'Florida Power & Light Company': ['100', '0', '9/29/2022 1:03:52 AM GMT'], 'Keys Energy Services': ['68,058', '0', '10/1/2022 8:03:00 PM GMT']}"
Nassau,"51,188",1,0%,10/2/2022 1:43:31 AM GMT,"{'Florida Power & Light Company': ['26,610', '0', '10/1/2022 5:53:35 PM GMT'], 'Florida Public Utilities': ['17,091', '1', '10/2/2022 1:43:31 AM GMT'], 'Jacksonville Electric Authority': ['1', '0', '10/2/2022 1:43:14 AM GMT'], 'Okefenoke REMC': ['7,486', '0', '10/2/2022 1:42:54 AM GMT']}"
Okeechobee,"22,938",521,2.27%,10/2/2022 1:43:19 AM GMT,"{'Florida Power & Light Company': ['20,480', '190', '10/2/2022 1:43:19 AM GMT'], 'Glades Electric Cooperative': ['2,458', '331', '10/2/2022 1:43:18 AM GMT']}"
Orange,"633,504","30,207",4.77%,10/2/2022 1:43:15 AM GMT,"{'Clay Electric Coop': ['0', '0', '3/14/2020 12:11:55 AM GMT'], 'Duke Energy': ['414,559', '27,049', '10/2/2022 1:40:04 AM GMT'], 'Florida Power & Light Company': ['3', '0', '9/28/2022 3:53:54 PM GMT'], 'Orlando Utilities Commission': ['218,942', '3,158', '10/2/2022 1:43:15 AM GMT']}"
